report_date,publication_date,manager_name,issuer,cusip,value_usd_thousands,shares,verification_state,notes
2019-12-31,2020-01-22 09:47:39,Exor Investments (UK) LLP,CAMECO CORP,13321L108,89026,10002961,PRIMARY_SEC,
2019-12-31,2020-01-22 09:47:39,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,42912,11821561,PRIMARY_SEC,
2019-12-31,2020-01-22 09:47:39,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,27264,30981260,PRIMARY_SEC,
2019-12-31,2020-01-22 09:47:39,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,56849,6344807,PRIMARY_SEC,
2019-12-31,2020-01-22 09:47:39,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,272091,27400896,PRIMARY_SEC,
2019-12-31,2020-01-22 09:47:39,Exor Investments (UK) LLP,VEON LTD,91822M106,102227,40405931,PRIMARY_SEC,
2019-12-31,2020-01-22 09:47:39,Exor Investments (UK) LLP,RANGE RES CORP,75281A109,8840,1822724,PRIMARY_SEC,ENTRY_Q4_2019
2019-12-31,2020-01-22 09:47:39,Exor Investments (UK) LLP,SCHLUMBERGER LTD,806857108,102130,2511104,PRIMARY_SEC,ENTRY_Q4_2019
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,CAMECO CORP,13321L108,65808,8613678,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,25771,11821561,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,15766,30877813,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,46825,6344807,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,SIBANYE STILLWATER,825724206,58628,12421203,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,VEON LTD,91822M106,56568,37462303,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,RANGE RES CORP,75281A109,9560,4192805,PRIMARY_SEC,
2020-03-31,2020-04-28 13:06:55,Exor Investments (UK) LLP,SCHLUMBERGER LTD,806857108,61288,4444656,PRIMARY_SEC,
2020-06-30,2020-07-22 08:32:56,Exor Investments (UK) LLP,CAMECO CORP,13321L108,104431,10188363,PRIMARY_SEC,
2020-06-30,2020-07-22 08:32:56,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,49296,11821561,PRIMARY_SEC,
2020-06-30,2020-07-22 08:32:56,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,25669,19014025,PRIMARY_SEC,
2020-06-30,2020-07-22 08:32:56,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,59338,6463807,PRIMARY_SEC,
2020-06-30,2020-07-22 08:32:56,Exor Investments (UK) LLP,SIBANYE STILLWATER,82575P107,106919,12360532,PRIMARY_SEC,CUSIP_CHANGE_REVIEW_REQUIRED
2020-06-30,2020-07-22 08:32:56,Exor Investments (UK) LLP,VEON LTD,91822M106,95606,53114362,PRIMARY_SEC,
2020-06-30,2020-07-22 08:32:56,Exor Investments (UK) LLP,RANGE RES CORP,75281A109,40063,7115947,PRIMARY_SEC,
2020-06-30,2020-07-22 08:32:56,Exor Investments (UK) LLP,SCHLUMBERGER LTD,806857108,128561,6942076,PRIMARY_SEC,
2020-09-30,2020-10-29 07:08:40,Exor Investments (UK) LLP,CAMECO CORP,13321L108,102902,10188363,PRIMARY_SEC,
2020-09-30,2020-10-29 07:08:40,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,56634,10746561,PRIMARY_SEC,
2020-09-30,2020-10-29 07:08:40,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,17151,10088931,PRIMARY_SEC,
2020-09-30,2020-10-29 07:08:40,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,76855,6463807,PRIMARY_SEC,
2020-09-30,2020-10-29 07:08:40,Exor Investments (UK) LLP,SIBANYE STILLWATER,82575P107,134433,11965532,PRIMARY_SEC,
