replication,offset,winner,validation_sharpe,validation_excess_total_return,oos_sharpe,oos_excess_total_return,passes_validation,sealed_oos_pass
104,3358,CROSS_60_200,-0.18013638518344102,-0.27807739939496356,0.633852401551049,-0.3458490858976351,False,False
105,1213,CROSS_20_150,0.9601696269888471,-0.36050032291959044,0.918705620665712,-0.32907080602185523,False,False
106,2497,TREND_SMA_50,0.7926305531088707,-0.695210329830591,0.8035760875780438,-0.41451665296250906,False,False
107,3183,CROSS_20_200,0.08651290604044529,-0.18950745182773188,0.9953735182027548,-0.14366058029338502,False,False
108,1129,MOM_60,0.47495239030934644,-0.7132334840167174,0.962383295368807,-0.11010231952745442,False,False
109,2318,MOM_252,0.6466341046149853,-0.4657321574361142,0.990241971801173,-0.1885088261049297,False,False
110,2694,CROSS_40_50,0.6045779976619899,0.04767875134693078,1.0344946805366817,-0.18417099086968802,True,False
111,2132,TREND_SMA_200,1.0461615988578203,-0.41410359635737715,1.1690469081713484,-0.01640712059322391,False,False
112,2562,CROSS_60_100,0.8234873080480952,-0.5135339777512509,0.9917839588107827,-0.1639013282783579,False,False
113,1489,TREND_SMA_50,0.4505428161428669,-0.7530536909125312,1.1175811920631946,-0.23642709424659736,False,False
114,4986,CROSS_20_50,0.32948147969120367,-0.653644492675745,0.6972791098208587,-0.13563403673489094,False,False
115,5043,MOM_252,0.47219087069743887,-0.4201929876463386,0.426997096537494,-0.20383524722474156,False,False
116,850,CROSS_60_100,0.8824925455899968,-0.20203743040617383,0.6211859742877407,-0.16064679962179018,False,False
117,4704,MOM_252,0.3585988041813968,-0.38214113338273337,0.6279956095944921,-0.10627198549494232,False,False
118,874,CROSS_40_100,1.361823864371567,0.1284257138886553,0.611648169951241,0.019123650993755126,True,True
119,4994,CROSS_5_100,0.6619821526339914,-0.19549746983952954,0.83127643592309,0.0339548264680849,False,False
120,840,MOM_120,0.9137018116545877,-0.2682031333552928,0.6314900765074031,-0.06002394661928534,False,False
121,2273,MOM_252,0.8004978566402914,-0.4062271808389737,1.1409571762409412,0.00015985909533089426,False,False
122,2730,CROSS_10_50,0.5002220866343259,-0.09948036420862816,0.649177309027308,-0.44997698702976474,False,False
123,2819,MOM_120,0.09526507964622014,-0.13531972376287527,1.3994925294497778,-0.06934491033179246,False,False
124,3742,MOM_252,0.6865424728273672,0.0981796991084305,0.2676100232980476,-0.18582086309157542,True,False
125,3220,MOM_120,-0.08230766290814948,-0.3596746012010731,1.0143335734449022,0.01537434122742587,False,False
126,1719,CROSS_20_50,1.2509029903530304,0.07096280236082508,0.7455799847123935,-0.4716238746207779,True,False
127,4797,MOM_60,0.18276870689203423,-0.5374866025311202,0.7934377797574061,-0.08175903443461596,False,False
128,2471,CROSS_20_150,1.1971775956879651,-0.675052285505648,1.0543692168584418,-0.08142115441322018,False,False
129,2049,CROSS_10_100,0.6502534514612253,-0.5729661809240612,1.0659967130741554,-0.11232944065306016,False,False
130,609,CROSS_10_50,0.7065732985835734,-0.7961125836037781,0.6412797190159419,-0.22103631221634856,False,False
131,2655,CROSS_60_100,0.3591826573112382,-0.06227596427007942,1.0258143709838816,-0.06624328100215537,False,False
132,4176,CROSS_10_150,0.46265049038330613,-0.41919614013831574,0.6328772979445086,0.44886446703644034,False,False
133,3620,CROSS_5_50,0.30558695332531965,-0.2898369032666821,0.290019043728208,-0.2790722017406435,False,False
134,2268,MOM_252,0.794816690313146,-0.3563424694508741,1.0099443786943816,-0.04193392081321834,False,False
135,1331,MOM_252,0.8535139195678579,-0.39873697170328093,0.8390463096084532,-0.32861108859882293,False,False
136,4860,BREAKOUT_200,0.37486191162373095,-0.27351836350132475,0.7718988786306008,-0.27431893580108,False,False
137,3721,MOM_252,0.8485244394371244,0.21145519264097135,0.40851163483390845,0.008033938004941898,True,True
138,1663,BREAKOUT_20,0.9651813838637391,-0.25773760508019783,1.050763156998029,-0.4194516426547943,False,False
139,1608,CROSS_20_50,0.9456150322176843,-0.37175321894509983,1.7848766667529552,0.6103929385830913,False,False
140,4775,CROSS_5_50,0.7702196612143534,0.12781593832615012,0.7595182019979569,-0.13508154373383285,True,False
141,820,MOM_120,1.1280365584455316,-0.16230355548691477,0.835132085830888,0.1829299937014317,False,False
142,3871,CROSS_10_50,0.6111149956768587,-0.5476477083954809,0.06527153493856466,-0.34029634502240935,False,False
143,3676,CROSS_10_100,0.5467605819031096,-0.15616678981313004,0.25870463381537706,-0.09967712229867742,False,False
144,969,CROSS_60_100,0.41540448668674274,-0.4438109576942866,0.5078795266878307,-0.18395727869433776,False,False
145,3419,CROSS_10_50,0.18345118044515435,0.10743173227230896,0.9744530973197743,-0.22109100869860288,True,False
146,2634,CROSS_20_50,0.2069011950619549,-0.38810488571223534,0.8476296846479038,-0.31822991858492466,False,False
147,4957,CROSS_60_200,0.520745951300592,-0.4292964113047173,0.89927177652739,0.19324033059599555,False,False
148,1883,CROSS_60_200,1.2425857224121117,-0.09658824141850864,0.8679331431734801,-0.06875194494837777,False,False
149,4714,MOM_252,0.2680443847024417,-0.4814301892210944,0.8675069124059488,0.07916751200262828,False,False
150,1265,MOM_252,0.841957986314064,-0.3906118904111231,1.0312646639031744,-0.19752131779631332,False,False
